sample	mb_per_sec
1	17.689636
2	17.812155
3	17.901041
4	17.814306
5	18.021984
6	17.852676
7	17.835288
8	17.880382
9	17.945579
10	17.877742
11	17.930058
12	17.834448
13	17.884627
14	17.943720
15	17.981417
16	17.953776
17	18.064302
18	17.966511
19	18.027331
20	18.010014
21	18.049317
22	17.988480
23	18.021366
24	17.911262
25	17.922464
26	17.918998
27	17.886579
28	17.857490
29	17.836990
30	17.926009
31	18.059392
32	18.015229
33	17.986461
34	17.922185
35	17.931596
36	17.952409
37	17.989880
38	17.945448
39	18.036851
40	18.020413
41	18.026766
42	18.023814
43	17.968195
44	17.926527
45	17.823942
46	17.809062
47	17.753219
48	17.765757
49	17.761618
50	17.762338
51	17.699645
52	17.929422
53	17.915256
54	17.811999
55	17.815367
56	17.992905
57	17.991689
58	18.008360
59	17.974641
60	18.053784
61	17.976469
62	18.055374
63	17.983917
64	17.922845
65	17.947921
66	17.972416
67	17.982033
68	18.002510
69	17.947747
70	18.034801
71	17.974991
72	17.877625
73	17.895616
74	17.930971
75	17.890696
76	17.960869
77	17.800242
78	17.898042
79	17.892442
80	18.019742
81	17.900003
82	17.992682
83	18.015907
84	18.021505
85	17.983075
86	18.070141
87	17.970115
88	18.082016
89	17.988431
90	18.055249
91	17.781149
92	17.956437
93	17.847248
94	17.980508
95	17.893282
96	17.950752
97	17.890401
98	17.950561
99	17.931356
100	17.967617
