sample	mb_per_sec
1	26.151067
2	26.717935
3	27.514603
4	25.795067
5	26.419637
6	25.742546
7	25.588856
8	25.848759
9	24.983670
10	24.890681
11	24.467459
12	25.506619
13	24.265237
14	23.943329
15	24.200046
16	24.224448
17	23.429988
18	23.786415
19	23.890943
20	22.176618
21	22.548269
22	22.795578
23	21.985798
24	21.771577
25	23.202541
26	26.590017
27	23.077441
28	22.240090
29	22.739207
30	21.043832
31	20.822916
32	20.197685
33	13.918365
34	13.628182
35	13.087430
36	8.113017
37	6.976646
38	11.243832
39	11.775144
40	6.688890
41	12.399653
42	10.460973
43	4.545975
44	7.155149
45	8.831901
46	9.364711
47	6.394156
48	10.110012
49	11.605836
50	11.477372
51	8.094105
52	9.217406
53	11.753632
54	7.496568
55	10.512953
56	12.672925
57	11.033057
58	8.086101
59	8.857323
60	7.556034
61	7.219195
62	9.915589
63	8.179963
64	8.338565
65	8.179001
66	9.978375
67	11.792310
68	11.161703
69	6.918061
70	10.691752
