sample	mb_per_sec
1	69.846176
2	70.582153
3	70.996719
4	70.924156
5	70.914192
6	70.594765
7	71.344429
8	70.351074
9	69.045586
10	70.818062
11	70.680939
12	69.289268
13	70.647972
14	71.005592
15	70.850075
16	70.674889
17	70.978416
18	70.786064
19	70.596397
20	70.855583
21	70.701836
22	70.765129
23	71.122261
24	70.400658
25	70.298843
26	70.827988
27	69.220673
28	70.617790
29	70.712280
30	70.364151
31	70.420837
32	70.375587
33	70.403931
34	70.611214
35	70.613403
36	70.962906
37	70.400108
38	70.965683
39	70.754112
40	71.037773
41	70.502769
42	70.593658
43	70.740341
44	69.518188
45	71.021126
46	71.404404
47	71.678619
48	71.376923
49	71.366837
50	70.886536
51	70.821358
52	71.190216
53	71.111130
54	71.099449
55	71.166245
56	71.005592
57	70.840126
58	72.172607
59	72.507088
60	71.887230
61	72.105621
62	70.024269
63	70.588722
64	69.926781
65	71.458855
66	70.541061
67	70.630417
68	70.521912
69	71.561234
70	71.329880
71	70.087448
72	70.228775
73	72.320755
74	70.336922
75	70.132866
76	69.016228
77	71.507759
78	70.958466
79	71.190773
80	70.670502
81	70.548180
82	70.231491
83	71.321480
84	70.680939
85	71.708580
86	70.978416
87	71.016685
88	71.233734
89	70.917503
90	70.945732
91	70.666107
92	70.379402
93	70.446495
94	70.814743
95	71.433014
96	69.575661
97	69.198013
98	68.744812
99	67.614716
100	64.198853
